Date,Name,Year,Letterboxd URI,Rating
2024-10-22,Dune,2021,https://boxd.it/fA7G,3
2024-10-22,Dune: Part Two,2024,https://boxd.it/pUfA,4
2024-10-22,Bullet Train,2022,https://boxd.it/qW26,4.5
2024-10-22,"Monsters, Inc.",2001,https://boxd.it/2a46,5
2024-10-22,Whiplash,2014,https://boxd.it/7bQA,4.5
2024-10-22,Oppenheimer,2023,https://boxd.it/wUow,5
2024-10-22,Interstellar,2014,https://boxd.it/4VZ8,5
2024-10-22,The Dark Knight,2008,https://boxd.it/2b0k,5
2024-10-22,The Intern,2015,https://boxd.it/7AOE,4
2024-10-22,The Hunger Games,2012,https://boxd.it/2uds,4
2024-10-22,The Hunger Games: Catching Fire,2013,https://boxd.it/3sAw,5
2024-10-22,Captain America: The Winter Soldier,2014,https://boxd.it/3r58,4
2024-10-22,The Banker,2020,https://boxd.it/nfyC,4
2024-10-22,The Truman Show,1998,https://boxd.it/18U8,4.5
2024-10-22,American Psycho,2000,https://boxd.it/28Vs,4
2024-10-22,John Wick,2014,https://boxd.it/7dEc,4
2024-10-22,Tangled,2010,https://boxd.it/15gO,4
2024-10-22,Megamind,2010,https://boxd.it/16Sk,5
2024-10-22,Divergent,2014,https://boxd.it/4VT0,1
2024-10-22,La La Land,2016,https://boxd.it/a5fa,5
2024-10-22,Top Gun: Maverick,2022,https://boxd.it/cjr4,4
2024-10-22,The Imitation Game,2014,https://boxd.it/6aig,4.5
2024-10-22,Saltburn,2023,https://boxd.it/z4eg,2
2024-10-22,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/azpY,4.5
2024-10-22,The Shawshank Redemption,1994,https://boxd.it/2aHi,4
2024-10-22,Coraline,2009,https://boxd.it/1NhQ,4.5
2024-10-22,The Wolf of Wall Street,2013,https://boxd.it/3C1m,3.5
2024-10-22,Don't Look Up,2021,https://boxd.it/o0Hc,3
2024-10-22,Logan,2017,https://boxd.it/7Piy,4.5
2024-10-22,Moana,2016,https://boxd.it/8tfY,4.5
2024-10-22,Coco,2017,https://boxd.it/bYJQ,4
2024-10-22,The Incredibles,2004,https://boxd.it/1XLm,5
2024-10-22,The Queen's Gambit,2020,https://boxd.it/s1Ym,4
2024-10-22,Edge of Tomorrow,2014,https://boxd.it/4pD0,3.5
